"","Row.names","Log2FoldChange","logCPM","LR","PValue","P.Adjust","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"1975","ENSG00000250011",-0.332571070983815,4.25132239505039,0.893085798038982,0.344642453652391,0.691311173298307,"chr2",230515023,230515638,0.404220779220779,0.404220779220779,".",616,615,"2","processed_pseudogene",40.42,"HMGB1P3","not"
"2113","ENSG00000253620",0.379940339189947,3.88423538258406,0.892369621123095,0.344835969944455,0.691311173298307,"chr8",64091,64320,0.38695652173913,0.416093514328808,".",230,135,"2","processed_pseudogene",38.7,"AC144568.4","not"
"2169","ENSG00000254718",-0.320701472527789,3.85004976230785,0.893714427507234,0.344472714338303,0.691311173298307,"chr14",60240121,60248765,0.422209369577791,0.419990403396158,"0.39298093587521665",8645,3150,"3","antisense",42.22,"CTD-2184C24.2","not"
"2279","ENSG00000256862",0.165980622775263,7.22861008255192,0.891156800311407,0.345164018444662,0.691311173298307,"chr12",3871734,3910338,0.413547467944567,0.476978193233606,".",38605,971,"5","antisense",41.35,"RP11-664D1.1","not"
"2830","ENSG00000266664",-0.296017390040781,3.97679874397624,0.896321061953785,0.343770088763251,0.691311173298307,"chr17",19150279,19151286,0.48015873015873,0.476274460401444,".",1008,189,"5","sense_intronic",48.02,"RP11-160E2.21","not"
"3038","ENSG00000269837",0.102966782137352,8.0191056642137,0.894009064364255,0.344393196904859,0.691311173298307,"chr19",23255053,23257939,0.466227918254243,0.466227918254243,".",2887,2886,"4","transcribed_processed_pseudogene",46.62,"IPO5P1","not"
"3254","ENSG00000272375",-0.309116762592812,4.30465029224151,0.893811542044745,0.344446502048312,0.691311173298307,"chr8",30197404,30198048,0.361240310077519,0.361240310077519,".",645,644,"1","lincRNA",36.12,"RP11-51J9.6","not"
"3566","ENSG00000275580",0.268975051398763,4.52211365007411,0.891020557448513,0.34520089632207,0.691311173298307,"chr15",49343608,49344254,0.312210200927357,0.312210200927357,".",647,646,"1","lincRNA",31.22,"RP11-295H24.4","not"
"3601","ENSG00000276291",0.0973355062878381,8.50142165335885,0.891636089758066,0.345034327930481,0.691311173298307,"chr9",40992249,41218410,0.392320548987009,0.480718628594336,"0.3927669436581762",226162,1686,"5","transcribed_unprocessed_pseudogene",39.23,"FRG1HP","not"
"438","ENSG00000213742",0.160692161175477,5.66508072386687,0.883528540165074,0.347237058649972,0.693627834005444,"chr20",25624045,25678074,0.41180825467333,0.461805111013912,"0.4086588026658407",54030,6093,"4","antisense",41.18,"ZNF337-AS1","not"
"1034","ENSG00000229852",-0.153741034506416,6.28026453109244,0.882417056942273,0.347540520602541,0.693627834005444,"chr6",73263215,73301401,0.456359494068662,0.515904332769024,"0.4585758173321654",38187,6654,"6","antisense",45.64,"RP11-398K22.12","not"
"1258","ENSG00000233297",-0.244430573772999,4.68897731124335,0.884632185967547,0.346936092025744,0.693627834005444,"chr7",102681836,102690469,0.57956914523975,0.65555242331609,"0.564457186402805",8634,1190,"8","unprocessed_pseudogene",57.96,"RASA4DP","not"
"1277","ENSG00000233554",0.276959622980338,4.2057180563264,0.880770553273607,0.347990717946725,0.693627834005444,"chr9",33166975,33179983,0.461065416250288,0.438400343748305,"0.4636855785955668",13009,839,"3","antisense",46.11,"B4GALT1-AS1","not"
"1509","ENSG00000237181",0.121966873402395,7.18971730430341,0.880736367871876,0.3480000735197,0.693627834005444,"chr7",603185,608482,0.546055115137788,0.567637607238926,".",5298,729,"7","antisense",54.61,"AC147651.4","not"
"1719","ENSG00000242324",-0.238626963009923,5.36522636630855,0.885330053053963,0.346745964679493,0.693627834005444,"chr20",1516759,1557653,0.393715613155643,0.498791622046102,"0.38806083501023747",40895,1714,"5","unprocessed_pseudogene",39.37,"RP4-576H24.2","not"
"2621","ENSG00000261349",0.237511582581503,6.13839428131484,0.883198443346146,0.347327145570231,0.693627834005444,"chr1",25266102,25267136,0.473429951690821,0.601786970079878,".",1035,457,"8","unprocessed_pseudogene",47.34,"RP3-465N24.5","not"
"3278","ENSG00000272512",0.359550221451055,5.03406832030931,0.885547141522352,0.346686849767309,0.693627834005444,"chr1",995966,998051,0.661553211888782,0.661553211888782,".",2086,2085,"8","lincRNA",66.16,"RP11-54O7.17","not"
"3718","ENSG00000278784",-0.101470175475956,8.49641325201273,0.880745868481938,0.34799747343845,0.693627834005444,"chr14",24201612,24202811,0.446666666666667,0.446666666666667,".",1200,1199,"4","sense_intronic",44.67,"RP11-468E2.11","not"
"153","ENSG00000183458",0.261502079454578,6.39829065220252,0.879835752299556,0.348246669471344,0.69375555066068,"chr16",14911551,14935708,0.628363275105555,0.670829547607031,"0.6111138442990254",24158,6799,"8","transcribed_unprocessed_pseudogene",62.84,"RP11-958N24.1","not"
"968","ENSG00000228784",-0.115812558406179,8.91728795205567,0.877122891655318,0.348990908869795,0.694873988797323,"chr2",19868860,19885047,0.487150976031628,0.506223053633852,"0.47766954686407703",16188,4672,"6","lincRNA",48.72,"LINC00954","not"
"783","ENSG00000226009",0.318507753974667,3.7968632038623,0.875199857486166,0.3495197790863,0.695432987823655,"chr10",101819078,101828779,0.495155638012781,0.559951149621733,"0.48728370688654055",9702,847,"7","antisense",49.52,"KCNIP2-AS1","not"
"2719","ENSG00000263272",0.383042207732328,3.91348259790606,0.874108019558918,0.349820540047048,0.695432987823655,"chr17",5425139,5432876,0.455156371155337,0.436001596890721,".",7738,1936,"3","antisense",45.52,"CTC-524C5.2","not"
"3666","ENSG00000277634",-0.336296054498189,4.06819531575076,0.874312839049139,0.349764093032965,0.695432987823655,"chr14",49839401,49839493,0.387096774193548,0.387096774193548,".",93,92,"1","misc_RNA",38.71,"Y_RNA","not"
"853","ENSG00000227001",-0.293322779404569,4.91475299436842,0.872634533420126,0.35022698953069,0.695513472939474,"chr1",21424625,21427967,0.444510918336823,0.478071645134685,"0.4264708354273991",3343,656,"5","unprocessed_pseudogene",44.45,"NBPF2P","not"
"1385","ENSG00000235192",0.161224793388259,6.57466083959123,0.872919742315347,0.350148266771654,0.695513472939474,"chr2",165794851,165810010,0.364709762532982,0.468537513043205,"0.3610883461727586",15160,776,"4","lincRNA",36.47,"AC009495.2","not"
"3364","ENSG00000272994",0.137296172419637,6.54126963389551,0.871521964519374,0.35053430888318,0.695760265308077,"chr2",105334027,105337475,0.411423601043781,0.411423601043781,".",3449,3448,"2","lincRNA",41.14,"RP11-332H14.2","not"
"3521","ENSG00000274818",-0.358237484640654,3.68715415713239,0.868294831636774,0.3514278042119,0.697169667958993,"chr14",70906657,70907111,0.406593406593407,0.406593406593407,".",455,454,"2","lincRNA",40.66,"RP1-292L20.3","not"
"534","ENSG00000217643",0.337505044904113,4.09110030444905,0.866971081897674,0.351795208218726,0.697534473885956,"chr2",25822469,25822950,0.383817427385892,0.383817427385892,".",482,481,"1","processed_pseudogene",38.38,"PTGES3P2","not"
"3076","ENSG00000270069",-0.326599583711521,4.50096729822617,0.865771977678207,0.352128469431976,0.697831236867017,"chrX",45745211,45770274,0.379947334822853,0.375367884178938,".",25064,2967,"1","lincRNA",37.99,"MIR222HG","not"
"953","ENSG00000228495",0.334472707417352,5.3340616038816,0.863183533130098,0.352849333341381,0.698895422631886,"chr6",132131915,132169374,0.363934863854778,0.412478815212699,"0.3713975528337357",37460,4197,"2","lincRNA",36.39,"LINC01013","not"
"3504","ENSG00000274501",0.254349849327409,4.2261945772915,0.86246016371058,0.353051146870732,0.698930942320653,"chr20",63730072,63730377,0.480392156862745,0.480392156862745,".",306,305,"5","antisense",48.04,"RP4-583P15.16","not"
"2839","ENSG00000266865",0.185037719819442,5.6696978632215,0.861156356151156,0.35341529577305,0.699287631042875,"chr17",31008497,31093127,0.42224480391346,0.453621802352619,"0.4231379827194444",84631,2133,"4","transcribed_unprocessed_pseudogene",42.22,"RP11-848P1.9","not"
"2376","ENSG00000258904",-0.198356968840932,6.07287832820024,0.860430229552719,0.353618322915992,0.699322631517321,"chr14",100263781,100265405,0.505230769230769,0.489600873237747,".",1625,531,"5","sense_intronic",50.52,"RP11-638I2.2","not"
"3195","ENSG00000272017",-0.240709604240728,4.72245163681006,0.85977754150116,0.353800952488242,0.699322631517321,"chr6",99568097,99569096,0.577,0.577,".",1000,999,"7","antisense",57.7,"RP1-199J3.7","not"
"1971","ENSG00000249898",0.23906207302159,5.02161174503219,0.858571295604776,0.354138813392479,0.699626626665703,"chr8",6618475,6708209,0.425430434055831,0.458868741163694,"0.4285043939188788",89735,3038,"4","antisense",42.54,"MCPH1-AS1","not"
"883","ENSG00000227533",-0.20172098852656,5.96551609770035,0.855661407002486,0.354955671026954,0.700876106791403,"chr1",42959049,42983358,0.485479226655697,0.50625570270788,"0.4831580800950795",24310,3360,"6","lincRNA",48.55,"SLC2A1-AS1","not"
"2585","ENSG00000261061",-0.201392824612813,5.43599570215316,0.851445875745242,0.356143628110592,0.702856661707351,"chr16",81030770,81031485,0.434357541899441,0.434357541899441,".",716,715,"3","sense_intronic",43.44,"RP11-303E16.2","not"
"349","ENSG00000206903",-0.360406452754348,4.32188526713662,0.848469574173265,0.356985648606122,0.703536630443224,"chr15",65285461,65285591,0.435114503816794,0.435114503816794,".",131,130,"3","snoRNA",43.51,"SNORA24","not"
"1453","ENSG00000236297",-0.36443424087481,4.0382569273687,0.849432536114563,0.356712920111791,0.703536630443224,"chr3",193578812,193593090,0.379718467679809,0.451175669502777,"0.3779562695225346",14279,921,"4","transcribed_processed_pseudogene",37.97,"RP11-175P19.2","not"
"2850","ENSG00000266970",0.280656283539292,4.39563475371311,0.847612796895902,0.357228544266094,0.703536630443224,"chr17",78360453,78373911,0.535032320380415,0.597740710257761,"0.5399326347929216",13459,1182,"8","lincRNA",53.5,"RP11-806H10.4","not"
"3386","ENSG00000273151",0.142683234105154,6.96843854594507,0.847974487953934,0.357125977487805,0.703536630443224,"chr7",879790,886547,0.562444510210121,0.562444510210121,".",6758,6757,"7","antisense",56.24,"RP11-449P15.2","not"
"854","ENSG00000227009",-0.384775676503644,3.8625165390612,0.845542066190575,0.357816532368913,0.704329694217628,"chr22",39155525,39155945,0.505938242280285,0.505938242280285,".",421,420,"6","processed_pseudogene",50.59,"FUNDC2P4","not"
"3116","ENSG00000270755",0.244665085003072,4.49051783339437,0.843771016715095,0.358320480634113,0.704956597769287,"chr9",130044713,130045081,0.43360433604336,0.43360433604336,".",369,368,"3","lincRNA",43.36,"RP11-138E2.1","not"
"3204","ENSG00000272079",0.158335755514829,7.20405454260707,0.842491634489392,0.358685133122125,0.70530894516151,"chr16",3006120,3007388,0.505910165484634,0.505910165484634,".",1269,1268,"6","lincRNA",50.59,"LA16c-380H5.5","not"
"1512","ENSG00000237276",0.23167116116942,5.91669574327313,0.83954743017884,0.359526238087272,0.706232160707867,"chr1",16215909,16228027,0.540721181615645,0.577033862445853,"0.5199749272464496",12119,1972,"7","transcribed_unprocessed_pseudogene",54.07,"ANO7L1","not"
"2112","ENSG00000253616",-0.153407446143889,8.29782793044328,0.840195685977903,0.359340810536438,0.706232160707867,"chr8",23071377,23074488,0.504177377892031,0.564166544504833,".",3112,878,"7","antisense",50.42,"RP11-875O11.3","not"
"139","ENSG00000182057",0.239490508851894,4.71898456141967,0.832107700692404,0.361663772624143,0.707430939594617,"chr22",42269753,42275196,0.577516531961793,0.588533526579812,"0.5783688374759905",5444,1448,"8","lincRNA",57.75,"OGFRP1","not"
"578","ENSG00000221643",-0.189555473858406,6.26587920534322,0.834253493966912,0.361045463486669,0.707430939594617,"chr1",203729581,203729705,0.568,0.568,".",125,124,"7","snoRNA",56.8,"SNORA77","not"
"943","ENSG00000228399",-0.338253481975156,3.84939741563624,0.835120526156345,0.36079604220605,0.707430939594617,"chr1",101256274,101256616,0.448979591836735,0.448979591836735,".",343,342,"4","processed_pseudogene",44.9,"RP4-575N6.2","not"
"1748","ENSG00000243389",-0.308374416162424,4.08267198206842,0.836594498494321,0.360372565821213,0.707430939594617,"chr2",112589040,112614431,0.445218966603655,0.576469057478868,".",25392,423,"7","3prime_overlapping_ncRNA",44.52,"AC012442.5","not"
"2281","ENSG00000257086",0.289706313925728,4.08610623542679,0.832111780004027,0.361662595787151,0.707430939594617,"chr11",64246939,64249494,0.600547730829421,0.603827135920257,"0.6046612223077154",2556,849,"8","lincRNA",60.05,"RP11-783K16.13","not"
"3213","ENSG00000272142",-0.281379454198375,4.34736092318777,0.834594936667855,0.360947211455475,0.707430939594617,"chr6",5029972,5043449,0.463792847603502,0.458648794610367,".",13478,1486,"4","lincRNA",46.38,"RP11-428J1.5","not"
"3401","ENSG00000273243",-0.234010631274822,5.48506076516057,0.833921065100043,0.361141157176,0.707430939594617,"chr22",45155539,45156011,0.439746300211416,0.439746300211416,".",473,472,"3","lincRNA",43.97,"CTA-217C2.2","not"
"3670","ENSG00000277692",-0.278775405865919,4.56304421032438,0.831595559266702,0.361811561844761,0.707430939594617,"chr20",32355053,32355734,0.406158357771261,0.406158357771261,".",682,681,"2","lincRNA",40.62,"RP11-358N2.2","not"
"3771","ENSG00000282164",0.173150502493683,6.32963058351779,0.832392636362044,0.361581584491219,0.707430939594617,"chr8",140094894,140100560,0.571554614434445,0.571554614434445,".",5667,5666,"7","sense_intronic",57.16,"PEG13","not"
"413","ENSG00000213279",-0.251529246813355,4.64881335305737,0.829709046210752,0.362356674812273,0.70813250435036,"chr22",49572264,49575426,0.550742965539045,0.550647345987567,".",3163,2377,"7","lincRNA",55.07,"RP1-29C18.9","not"
"2801","ENSG00000265967",-0.170683725786086,5.77197067299074,0.828232762692011,0.362784042344639,0.708603363284673,"chr15",64695041,64695594,0.429602888086643,0.429602888086643,".",554,553,"3","antisense",42.96,"AC100830.4","not"
"2618","ENSG00000261327",0.367661885090762,3.99630037802683,0.823397942192798,0.364188556906056,0.710981358397494,"chr16",88177298,88178941,0.535279805352798,0.546775713388211,".",1644,1505,"7","lincRNA",53.53,"RP11-863P13.3","not"
"3577","ENSG00000275765",0.231407368295102,4.86001049459972,0.821323596747419,0.364793461296713,0.711796687057908,"chr5",151770242,151771508,0.619573796369376,0.618428611789413,".",1267,724,"8","lincRNA",61.96,"RP11-54C4.3","not"
"1131","ENSG00000231466",0.27097413107588,4.66522309542952,0.81907174683019,0.36545170507288,0.712715203171891,"chr22",25349543,25350322,0.417948717948718,0.417948717948718,".",780,779,"3","processed_pseudogene",41.79,"CTA-246H3.11","not"
"622","ENSG00000223725",0.242516665361392,4.80769300407935,0.816425604804522,0.366227311990363,0.712764983551137,"chr2",207239864,207529795,0.407688699419174,0.442984225567072,"0.4066913418633991",289932,1276,"4","antisense",40.77,"AC007879.5","not"
"2140","ENSG00000254165",0.404818634210095,3.9282030816985,0.816886601674497,0.366092025688737,0.712764983551137,"chr8",42537529,42538304,0.319587628865979,0.320846021441899,".",776,706,"1","antisense",31.96,"RP11-503E24.2","not"
"2817","ENSG00000266305",-0.209860513851,5.38513746572406,0.817282891422394,0.365975784067429,0.712764983551137,"chr16",30503919,30504001,0.55421686746988,0.55421686746988,".",83,82,"7","miRNA",55.42,"MIR4518","not"
"3091","ENSG00000270179",0.263735152607326,5.19550720922674,0.818154316859534,0.365720353394246,0.712764983551137,"chr11",113368478,113369117,0.446875,0.446875,".",640,639,"4","sense_intronic",44.69,"RP11-159N11.4","not"
"2000","ENSG00000250575",0.20356881103924,5.76830112049076,0.809084527960124,0.368391048753373,0.716609199750036,"chr1",491225,493241,0.661874070401587,0.651332842282832,".",2017,1237,"8","unprocessed_pseudogene",66.19,"RP4-669L17.8","not"
"137","ENSG00000181908",0.141370429947058,6.729463659074,0.805039170093494,0.369590998196017,0.717802860774201,"chr11",64449074,64451657,0.542569659442725,0.537153717235249,".",2584,2338,"7","lincRNA",54.26,"AP003774.4","not"
"1712","ENSG00000242170",-0.349109088523403,4.20829430651792,0.804470675202651,0.36976006350852,0.717802860774201,"chr8",125270604,125270902,0.528428093645485,0.528428093645485,".",299,298,"6","misc_RNA",52.84,"RN7SL329P","not"
"2902","ENSG00000267394",-0.23870489688156,4.48605915764759,0.805956689883175,0.369318363157696,0.717802860774201,"chr17",44198882,44216565,0.566557339968333,0.5301470693737,".",17684,526,"6","antisense",56.66,"CTB-175E5.7","not"
"3325","ENSG00000272791",0.296166800055021,4.02017258309179,0.805083960040832,0.369577682644063,0.717802860774201,"chr10",73630556,73631490,0.431016042780749,0.431016042780749,".",935,934,"3","lincRNA",43.1,"RP11-464F9.22","not"
"1827","ENSG00000245573",0.269086991323555,4.26041974943071,0.803550538439254,0.370033932527342,0.717967829268212,"chr11",27506838,27698174,0.394565609369855,0.409480979353273,"0.39271142634699124",191337,3714,"2","antisense",39.46,"BDNF-AS","not"
"2411","ENSG00000259366",-0.256647255861741,5.09509387844239,0.80109671616205,0.370765671590336,0.718287623707884,"chr8",29055935,29056685,0.40612516644474,0.389749781244764,".",751,550,"2","sense_intronic",40.61,"CTD-2647L4.4","not"
"2891","ENSG00000267317",-0.123145698897994,7.82966859047358,0.801945332441221,0.370512382833295,0.718287623707884,"chr19",1457670,1458580,0.563117453347969,0.563117453347969,".",911,910,"7","antisense",56.31,"CTB-25B13.12","not"
"3305","ENSG00000272669",0.136154816315402,8.91422409299515,0.801159929886424,0.370746795693441,0.718287623707884,"chr22",38742625,38743115,0.568228105906314,0.568228105906314,".",491,490,"7","antisense",56.82,"RP3-508I15.21","not"
"3689","ENSG00000278058",-0.258551516427405,4.56125610199802,0.79913506947463,0.371352095393948,0.719057215788281,"chr16",79605802,79606605,0.445273631840796,0.445273631840796,".",804,803,"4","lincRNA",44.53,"RP11-70D24.2","not"
"475","ENSG00000214465",0.276657857716946,4.61682315341418,0.79731395440902,0.371897668301675,0.719406005355213,"chr2",26149204,26150731,0.492146596858639,0.484378282533455,".",1528,1214,"5","processed_pseudogene",49.21,"SMARCE1P6","not"
"3111","ENSG00000270589",-0.147050237523689,6.40331697622681,0.797270298821957,0.371910760463824,0.719406005355213,"chr10",110910596,110912244,0.371740448756822,0.371740448756822,".",1649,1648,"1","antisense",37.17,"RP11-348N5.7","not"
"1957","ENSG00000249673",0.0916569871251719,8.48548784910957,0.796467184946579,0.372151726578231,0.71950595764184,"chr4",2934899,2961738,0.505625931445604,0.547982641832972,"0.5416659383954292",26840,7934,"7","antisense",50.56,"NOP14-AS1","not"
"3660","ENSG00000277534",0.217471786961834,4.75392814797101,0.795635114961783,0.372401610981287,0.719623041860636,"chr18",26542971,26545791,0.375398794753633,0.375398794753633,".",2821,2820,"1","sense_intronic",37.54,"RP11-9E17.1","not"
"2267","ENSG00000256633",0.152860795804308,6.1806569977029,0.793162915490115,0.373145439629281,0.720694012210823,"chr11",72584572,72587979,0.569542253521127,0.626528091387162,".",3408,662,"8","antisense",56.95,"RP11-169D4.2","not"
"1686","ENSG00000241527",0.242887765658813,5.35810390917907,0.792458747295115,0.373357688318994,0.720737721330877,"chr22",19031564,19034564,0.617460846384538,0.629917012160576,"0.6161003061633498",3001,897,"8","unitary_pseudogene",61.75,"CA15P1","not"
"498","ENSG00000215154",0.156894693125637,6.18676861147023,0.789853067276624,0.37414455842079,0.721890084546916,"chr16",2603350,2630494,0.542346656842881,0.533949016280127,"0.5523245528005601",27145,2747,"6","transcribed_unprocessed_pseudogene",54.23,"AC141586.5","not"
"264","ENSG00000200840",-0.378631098597572,4.10052100477264,0.785514336095332,0.375459947554009,0.72332653859746,"chr13",28232501,28232607,0.392523364485981,0.392523364485981,".",107,106,"2","snRNA",39.25,"RNU6-82P","not"
"927","ENSG00000228223",0.137900627209224,8.41046313825209,0.785667196615435,0.375413494064066,0.72332653859746,"chr6",26523450,26526579,0.39297124600639,0.39297124600639,".",3130,3129,"2","lincRNA",39.3,"HCG11","not"
"1185","ENSG00000232334",0.330819670576568,4.51967705097608,0.786002088993968,0.375311750270995,0.72332653859746,"chr10",124004304,124004828,0.588571428571429,0.588571428571429,".",525,524,"8","processed_pseudogene",58.86,"RP11-47G11.2","not"
"1582","ENSG00000238152",-0.248621189748669,4.81632167070662,0.783381505655427,0.376108946228443,0.724117588402762,"chr12",8414780,8415805,0.490253411306043,0.490253411306043,".",1026,1025,"5","unprocessed_pseudogene",49.03,"OR7E140P","not"
"3442","ENSG00000273507",0.397931338157357,3.77536222310891,0.782913471464269,0.376251575136926,0.724117588402762,"chr13",39053072,39221927,0.384090586061496,0.416767694768433,"0.3833981804243748",168856,1094,"2","lincRNA",38.41,"RP11-50D16.4","not"
"90","ENSG00000175746",-0.396035831807754,4.5210861930094,0.781593335446757,0.376654283745703,0.724159298187868,"chr15",39250684,39254845,0.387073522345026,0.381392204928559,".",4162,3076,"1","lincRNA",38.71,"C15orf54","not"
"1082","ENSG00000230530",0.162231712696987,5.63542338237032,0.782056756450359,0.376512847784496,0.724159298187868,"chr3",45679043,45689134,0.441636940150614,0.465125645933991,".",10092,1648,"4","antisense",44.16,"LIMD1-AS1","not"
"198","ENSG00000189136",-0.207909260561461,5.58313789358626,0.778802215781923,0.377507715255264,0.724700417012756,"chr15",84526781,84571216,0.391439373480961,0.513160618235686,"0.3857805720717124",44436,2996,"6","transcribed_unprocessed_pseudogene",39.14,"UBE2Q2P1","not"
"239","ENSG00000199133",-0.14980187068344,6.2303798408449,0.779317126621862,0.377350068117184,0.724700417012756,"chr9",94178834,94178920,0.482758620689655,0.482758620689655,".",87,86,"5","miRNA",48.28,"MIRLET7D","not"
"2375","ENSG00000258900",-0.136581880808092,6.28301423975129,0.779665641202357,0.377243418092674,0.724700417012756,"chr14",58521223,58521988,0.459530026109661,0.459530026109661,".",766,765,"4","processed_pseudogene",45.95,"HNRNPCP1","not"
"3542","ENSG00000275234",0.302204827621069,4.55395733915538,0.776266457401363,0.378285427540063,0.725826809732347,"chr19",6469465,6470152,0.475290697674419,0.475290697674419,".",688,687,"5","antisense",47.53,"CTD-2396E7.11","not"
"1026","ENSG00000229719",-0.314754061740549,3.88834740511328,0.773832010558266,0.379034193587628,0.726896553898373,"chr11",64889560,64893449,0.579948586118252,0.577162445492768,".",3890,3645,"7","lincRNA",57.99,"MIR194-2HG","not"
"82","ENSG00000173727",-0.0966145200435167,7.40839335055909,0.77263060535428,0.379404481785912,0.727239755556354,"chr11",65455258,65466720,0.468463752944255,0.468811890469636,"0.47465393133997785",11463,1768,"4","transcribed_unprocessed_pseudogene",46.85,"CMB9-22P13.1","not"
"1762","ENSG00000243659",-0.212850058082082,4.84688622715047,0.769682098844555,0.380315415555284,0.728361499128649,"chr1",27311240,27311838,0.457429048414023,0.39008897941681,".",599,280,"2","processed_pseudogene",45.74,"RP11-4K3__A.3","not"
"2437","ENSG00000259660",0.239048560118933,4.60720594978715,0.769496212609198,0.38037294811112,0.728361499128649,"chr15",101751032,101794302,0.492870513738994,0.58351118644673,"0.48254741249466776",43271,15275,"8","transcribed_unprocessed_pseudogene",49.29,"DNM1P47","not"
"1381","ENSG00000235111",-0.174532479509125,6.28847680572635,0.767178574860651,0.381091300437342,0.729369603707118,"chr22",49612657,49615716,0.488562091503268,0.484670391506915,".",3060,2973,"5","sense_intronic",48.86,"RP1-29C18.8","not"
"1208","ENSG00000232645",0.268400630390631,3.91276186817651,0.765390721571578,0.38164675739366,0.729697849523793,"chr20",23356594,23358116,0.519369665134603,0.523614404472459,"0.5644444444444444",1523,924,"6","lincRNA",51.94,"LINC01431","not"
"1279","ENSG00000233579",-0.298202710931498,4.0871208133517,0.765647725778393,0.381566839898622,0.729697849523793,"chr2",202840331,202841781,0.556857339765679,0.556857339765679,".",1451,1450,"7","processed_pseudogene",55.69,"KRT8P15","not"
"1460","ENSG00000236409",0.181928046013477,5.65556882362704,0.764221361034629,0.382010678611058,0.730026440120982,"chr3",47011542,47013146,0.541433021806854,0.584780267669045,"0.5004777416984775",1605,687,"8","unitary_pseudogene",54.14,"NRADDP","not"
"446","ENSG00000213866",-0.130028801214385,7.5682639711739,0.761486537175443,0.382863714676803,0.7311984814181,"chr9",35971344,35972318,0.564102564102564,0.564102564102564,".",975,974,"7","processed_pseudogene",56.41,"YBX1P10","not"
"3240","ENSG00000272288",0.163021672788525,6.09286437694376,0.761022483549453,0.383008728361862,0.7311984814181,"chr6",34696317,34697470,0.624783362218371,0.603108186532166,".",1154,768,"8","antisense",62.48,"RP11-140K17.3","not"
"21","ENSG00000123870",-0.131673874338154,7.26639999154527,0.759437287697097,0.383504679398256,0.731777754213238,"chr19",52588505,52597345,0.463974663499604,0.393263494858759,"0.44409403669724773",8841,2026,"2","transcribed_unprocessed_pseudogene",46.4,"ZNF137P","not"
"1491","ENSG00000236882",-0.295972823204224,3.80245394165241,0.757537204272182,0.384100348846569,0.732468001418957,"chr5",95852232,95860133,0.461908377625917,0.483268050435021,"0.43813162126741717",7902,2057,"5","lincRNA",46.19,"LINC01554","not"
"2125","ENSG00000253785",-0.2729547487471,4.08722006430113,0.757054681548823,0.384251827105867,0.732468001418957,"chr5",172975511,172976374,0.425925925925926,0.425925925925926,".",864,863,"3","processed_pseudogene",42.59,"CTC-308K20.3","not"
"1063","ENSG00000230266",0.297531070560169,4.2531921431499,0.754097929488381,0.385181895424053,0.733872874439511,"chr3",195147871,195152790,0.454065040650406,0.471894909422396,".",4920,782,"5","antisense",45.41,"XXYLT1-AS2","not"
"777","ENSG00000225975",0.18722222766644,5.53137190149276,0.751700954905772,0.385938232173903,0.733998225087711,"chr19",36685440,36687449,0.471641791044776,0.469890998476254,"0.4050755980728475",2010,1313,"5","lincRNA",47.16,"LINC01534","not"
"1434","ENSG00000235897",-0.240202640226856,4.62497285972445,0.750831121677749,0.386213220251361,0.733998225087711,"chr3",196318330,196325570,0.514707913271648,0.504193620428072,".",7241,2133,"6","antisense",51.47,"TM4SF19-AS1","not"
"2920","ENSG00000267519",0.103915432629081,11.8933737747739,0.751403105622018,0.386032362519571,0.733998225087711,"chr19",13834516,13836359,0.55531453362256,0.55531453362256,".",1844,1843,"7","lincRNA",55.53,"MIR24-2","not"
"3006","ENSG00000269038",0.181758333437508,5.32462682810734,0.751670467103253,0.38594786583941,0.733998225087711,"chr11",64778954,64779405,0.486725663716814,0.486725663716814,".",452,451,"5","lincRNA",48.67,"AP001462.6","not"
"3239","ENSG00000272282",0.127575463243162,8.07191238631976,0.751172943724427,0.386105123768087,0.733998225087711,"chr3",27712910,27714005,0.508211678832117,0.508211678832117,".",1096,1095,"6","lincRNA",50.82,"RP11-222K16.2","not"
"1671","ENSG00000241007",-0.304192654602872,4.12878561575725,0.74922845454816,0.386720616608562,0.734595234247448,"chr7",152367519,152368661,0.382327209098863,0.382327209098863,".",1143,1142,"1","processed_pseudogene",38.23,"SEPT7P6","not"
"482","ENSG00000214797",0.275398917378876,4.46784982405441,0.747767920977765,0.38718384162319,0.73510778322165,"chr11",59268876,59284033,0.455798918063069,0.448462129615017,".",15158,2803,"4","lincRNA",45.58,"RP11-1036E20.9","not"
"818","ENSG00000226415",0.110785479363671,7.49995530684206,0.746328129543571,0.387641262579593,0.735608806323031,"chr1",76699789,76700538,0.565333333333333,0.565333333333333,".",750,749,"7","processed_pseudogene",56.53,"TPI1P1","not"
"1014","ENSG00000229539",0.149653319439226,6.1678193270987,0.74446616078626,0.388233952855219,0.735829921332044,"chr20",3888239,3888868,0.531746031746032,0.539612773166817,".",630,439,"7","antisense",53.17,"RP11-119B16.2","not"
"2652","ENSG00000261596",0.138270723132983,7.78515912355614,0.744137989506143,0.388338548327304,0.735829921332044,"chr16",21626742,21627569,0.393719806763285,0.393719806763285,".",828,827,"2","sense_intronic",39.37,"CTB-31N19.3","not"
"3068","ENSG00000270019",0.317036228756829,3.93936228798966,0.744567219666266,0.388201751245437,0.735829921332044,"chr2",113888203,113889750,0.441214470284238,0.441214470284238,".",1548,1547,"3","lincRNA",44.12,"RP11-141B14.1","not"
